"","geoid10","area","numeric"
"70","17031252102","668485.628225324",668485.628225324
"71","17031252202","637446.888722692",637446.888722692
"72","17031220601","189119.501632278",189119.501632278
"73","17031210502","345944.978145211",345944.978145211
"74","17031220602","464796.43666939",464796.43666939
"75","17031220901","293285.84278563",293285.84278563
"76","17031220902","330305.138051587",330305.138051587
"77","17031200401","402814.278770331",402814.278770331
"78","17031200402","386204.269135748",386204.269135748
"79","17031191301","674993.207562009",674993.207562009
"80","17031190601","690031.1242549",690031.1242549
"81","17031190701","277867.955958682",277867.955958682
"82","17031190702","383492.089067184",383492.089067184
"83","17031190401","655473.29122294",655473.29122294
"84","17031190402","653980.192885632",653980.192885632
"85","17031832100","222084.734732913",222084.734732913
"86","17031843800","1309513.88399328",1309513.88399328
"87","17031842800","1516561.72303992",1516561.72303992
"88","17031351500","168878.982888187",168878.982888187
"89","17031980100","2961318.16254178",2961318.16254178
"90","17031833300","477828.046558357",477828.046558357
"91","17031832900","401289.492126541",401289.492126541
"92","17031838000","537837.159235475",537837.159235475
"93","17031838100","822114.089580918",822114.089580918
"94","17031030706","581936.235291388",581936.235291388
"95","17031381500","108676.116970196",108676.116970196
"96","17031833100","922172.601890482",922172.601890482
"97","17031839100","1186062.8668696",1186062.8668696
"98","17031081201","185123.148190625",185123.148190625
"99","17031150401","738023.71597996",738023.71597996
"100","17031150501","698785.866927604",698785.866927604
"101","17031843000","1065156.72128386",1065156.72128386
"102","17031842900","2208286.36127168",2208286.36127168
"103","17031842100","2034640.42666307",2034640.42666307
"104","17031841900","2564977.51038621",2564977.51038621
"105","17031080201","135302.921212049",135302.921212049
"106","17031070101","1197874.29055308",1197874.29055308
"107","17031081202","735030.005338409",735030.005338409
"108","17031040402","602582.719172469",602582.719172469
"109","17031220702","575194.778524855",575194.778524855
"110","17031140301","164127.410800408",164127.410800408
"111","17031842200","1565695.36982563",1565695.36982563
"112","17031843700","1263069.50682098",1263069.50682098
"113","17031835000","1004078.04879376",1004078.04879376
"114","17031842300","1872231.86314426",1872231.86314426
"115","17031230200","210189.950123355",210189.950123355
"116","17031835100","1003889.38980946",1003889.38980946
"117","17031834700","657991.937264584",657991.937264584
